Zwart,zwarte
Wit,witte
Rood,rode
Limoen,limoenkleurige
Blauw,blauwe
Geel,gele
Cyaan,cyaan
Aqua,aqua
Magenta,magenta
Fuchsia,Fuchsia
Zilver,zilveren
Grijs,grijze
Kastanjebruin,kastanjebruine
Olijf,olijfkleurige
Groen,groene
Purper,purperen
Marine,marinekleurige
donkerrood,donkerrode
bruin,bruine
karmozijnrood,karmozijnrode
rood,rode
indisch rood,indisch rode
Zalmkleurig,zalmkleurige
Oranjerood,oranjerode
donkeroranje,donkeroranje
oranje,oranje
goud,gouden
donkerkaki,donkerkaki
kaki,kaki
geel,gele
geelgroen, geelgroene
donker olijfgroen,donker olijfgroene
gazongroen,gazongroene
groengeel,groengele
donkergroen,donkergroene
groen,groene
Bosgroen,bosgroene
limoengroen,limoengroene
lichtgroen,lichtgroene
groenblauw,groenblauwe
donkercyaan,donkercyaan
lichtcyaan,lichtcyaan
donkerturkoois,donkerturkoize
turkoois,turkoize
poederblauw,poederblauwe
diep hemelsblauw,diep hemelsblauwe
lichtblauw,lichtblauwe
hemelsblauw,hemelsblauwe
licht hemelsblauw,licht hemelsblauwe
donkerblauw,donkerblauwe
koningsblauw,koningsblauwe
blauwviolet,blauwviolette
indigo,indigo
mediumpaars,mediumpaarse
donkermagenta,donkermagenta
donkerviolet,donkerviolette
Purper,purperen
paars,paarse
donkerroze,donkerroze
felroze,felroze
lichtroze,lichtroze
roze,roze
beige,beige
bisque,bisque
lichtgeel,lichtgele
zadelbruin,zadelbruine
zandbruin,zandbruine
rozebruin,rozebruine
leigrijs,leigrijze
spookwit,spookwitte
azuurblauw,azuurblauwe
donkergrijs,donkergrijze
