Brussels Hoofdstedelijk Gewest,Brussels,Brusselse,Brusselaar,Brusselaars
Waals Gewest,Waals,Waalse,Waal,Walen
Vlaams Gewest,Vlaams,Vlaamse,Vlaming,Vlamingen
Vlaamse Gemeenschap,Nederlandstalig,Nederlandstalige,Nederlandstalige,Nederlandstalig
Franse Gemeenschap,Franstalig,Franstalige,Franstalige,Franstaligen
Duitstalige Gemeenschap,Duitstalig,Duitstalige,Duitstalige,Duitstaligen
Brussel,Brussels,Brusselse,Brusselaar,Brusselaars
Oost-Vlaanderen,Oost-Vlaams,Oost-Vlaamse,Oost-Vlaming,Oost-Vlamingen
West-Vlaanderen,West-Vlaams,West-Vlaamse,West-Vlaming,West-Vlamingen
Vlaams-Brabant,Vlaams-Brabants,Vlaams-Brabantse,Vlaams-Brabander,Vlaams-Brabanders
Antwerpen,Antwerps,Antwerpse,Antwerpenaar,Antwerpenaren
Limburg,Limburgs,Limburgse,Limburger,Limburgenaar
Henegouwen,Henegouws,Henegouwse,Henegouwenaar,Henegouwenaren
Luik,Luiks,Luikse,Luikenaar,Luikenaars
Namen,Naams,Naamse,Namenaar,Namenaren
Luxemburg,Luxemburgs,Luxemburgse,Luxemburger,Luxemburgers
Waals-Brabant,Waals-Brabants,Waals-Brabantse,Waals-Brabander,Waals-Brabanders
